주차장관리번호,주차장명,주차장구분,주차장유형,소재지우편번호,소재지지번주소,소재지도로명주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,연락처,위도(WGS84좌표),경도(WGS84좌표),데이터기준일자
183-0-00001,선화교 하상주차장(삼성동),공영,하상,,대전광역시 동구 대전천,,70,2,미시행,개방,개방,개방,개방,개방,개방,개방,무료,,,,,,,,,,대전광역시 동구청,042-251-4904,,,2015-03-01
183-0-00002,소제동 하상주차장,공영,하상,,대전광역시 동구 대동천,,210,2,미시행,개방,개방,개방,개방,개방,개방,개방,무료,,,,,,,,,,대전광역시 동구청,042-251-4904,,,2015-03-01
183-0-00003,대신동 하상주차장 ,공영,하상,,대전광역시 동구 대동천,,286,2,미시행,개방,개방,개방,개방,개방,개방,개방,무료,,,,,,,,,,대전광역시 동구청,042-251-4904,,,2015-03-01
183-0-00004,신흥동 제1치수교하상주차장,공영,하상,,대전광역시 동구 대동천,,51,2,미시행,개방,개방,개방,개방,개방,개방,개방,무료,,,,,,,,,,대전광역시 동구청,042-251-4904,,,2015-03-01
183-1-00005,인동 천변 노상,공영,노상,,대전광역시 동구 인동 83-52번지선,대전광역시 동구 대전천동로,45,2,미시행,평일,8:00,22:00,개방,개방,개방,개방,유료,15,300,15,200,,,,,,대전광역시 동구청,042-251-4904,,,2015-03-01
183-1-00006,원동중동 천변 노상,공영,노상,,"대전광역시 동구 원동 85-61번지선, 중동 47-26번지선",대전광역시 동구 대전천동로,49,1,미시행,평일,8:00,22:00,개방,개방,개방,개방,유료,15,400,15,300,,,,,,대전광역시 동구청,042-251-4904,,,2015-03-01
183-1-00007,용운동 일반통행길(하행길),공영,노상,,대전광역시 동구 용운동 447-6~489-7번지선,대전광역시 동구 계족로140번길,21,2,미시행,개방,개방,개방,개방,개방,개방,개방,무료,,,,,,,,,,대전광역시 동구청,042-251-4904,,,2015-03-01
183-1-00008,삼성동 삼성철교,공영,노상,,대전광역시 동구 삼성동 솔랑마을@ 뒤,대전광역시 동구 대전로968,25,2,미시행,개방,개방,개방,개방,개방,개방,개방,무료,,,,,,,,,,대전광역시 동구청,042-251-4904,,,2015-03-01
183-1-00009,대동 보현문화회관 뒷길,공영,노상,,대전광역시 동구 자양동 207-34~205-12번지선,대전광역시 동구 대자양5길,25,2,미시행,개방,개방,개방,개방,개방,개방,개방,무료,,,,,,,,,,대전광역시 동구청,042-251-4904,,,2015-03-01
183-1-00010,우송대학교 서 캠퍼스 후문,공영,노상,,대전광역시 동구 자양동 308-9~321-10번지선,대전광역시 동구 가양남로,26,2,미시행,개방,개방,개방,개방,개방,개방,개방,무료,,,,,,,,,,대전광역시 동구청,042-251-4904,,,2015-03-01
