전통시장 및 상점가 현황,,,,,,,,
(2013. 2월 현재),,,,,,,,
연번,구분,시장명,대표자,주소,점포수,종사자,연락처,비고
계,,"22개소 (등록 11, 인정 11)",,,"3,339","8,132",,
1,등록,대 인,홍정희,동구 제봉로 190번길 1-7,330,509,070-4189-3001,
,,,,(대인동 190-7),,,,
2,등록,남 광 주,조옥자,동구 제봉로 17번길,343,896,226-1101,
,,,,(학동 55-51),,,,
3,등록,양 동,김용목,서구 천변좌로 238,341,"1,148",363-0815,
,,,,(양동 5-101),,,,
4,등록,복개상가,손중호,서구 천변좌로 226,360,900,362-0121,
,,,,(양동 441),,,,
5,인정,닭전길,최영래,서구 경열로 113번길 ,140,650,365-6721,
,,,,(양동5),,,,
6,인정,양동수산,정해완,서구 천변좌로 246번길,100,180,,
,,,,(양동 5-254),,,,
7,인정,건어물,김희종,서구 천변좌로 254번길 9 ,49,137,,
,,,,(양동 5-41),,,,
8,인정,산업용품,서육남,서구 천변좌로 294,169,447,369-4111,
,,,,(양동 113-5),,,,
9,인정,양 동 경열로,고형길,서구 양동 307-46,73,109,,
10,인정,화정동 서부시장,윤오영,서구 화정동 783-5,78,98,,
11,등록,무 등,임승우,남구 군분로 27 ,62,93,652-5549,
,,,,(주월동 974-107),,,,
12,인정,봉 선,박삼겸,남구 봉선중앙로91번길 7,52,118,,
,,,,(봉선동 997-1),,,,
13,등록,두 암,윤갑주,북구 금녕길 23,33,66,,
,,,,(두암동 856-5),,,,
14,등록,운 암,이영진,북구 대자로87,94,46,,
,,,,(운암동 94-7),,,,
15,인정,말바우,정종록,북구 동문대로 85번길 85,505,"1,642",262-4082,
,,,,(우산동 172-1),,,,
16,등록,동 부,김상화,북구 중문로 9번길 39,30,47,,
,,,,(중흥동 272-6),,,,
17,등록,송정매일,배병석,광산구 송정로 29번길 64,83,320,944-7931,
,,,,(송정동 813-1),,,,
18,등록,송정5일,백형채,광산구 광산로 80번길 65,199,328,,
,,,,(송정동 884-1),,,,
19,등록,비아5일,박중덕,광산구 비아중앙로 26-1,132,113,,
,,,,(비아동 83-5),,,,
20,인정,송정역전,배석용,광산구 송정로8번길 13,52,78,,
,,,,(송정동 990-18),,,,
21,인정,우산월곡,송응규,광산구 사암로300,63,85,,
,,,,(월곡동 687-3),,,,
22,인정,우산매일,김정원,광산구 무진대로 231번길 ,51,122,,
,,,,29-17(우산동 1577-2～6),,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
상점가 : 10개소,,,,,,,,
(2013. 2월 현재) ,,,,,,,,
연번,상점가명,대표자,소재지,점포수,종사자,연락처,,
계,,,10개소,"3,229","9,427",,,
1,전자의거리,손양호,동구 독립로 264번길 26-1,143,315,225-7769,,
,,,(금남로5가 86-2외),,,,,
2,나무전거리,미 정,,86,134,,,
3,충장로상점가,이화영,동구 충장로2가 2-5,"1,751","5,639",224-0051(사무실),,
,,,(충장로1가～충장로5가),,,,,
4,금남지하도상가,정천규,동구 금남로1가 23,364,610,,,
5,충금지하도상가,송원봉,동구 중앙로 지하 187,128,250,,,
6,지산유원지상인회,김승재,동구 지산동 116-4,45,150,,,
7,공구의거리,신복식,북구 운암동 운암고가,340,"1,040",,,
,,,~ 서강정보대,,,,,
8,건축자재거리,김용태,북구 중흥동 구호전,141,518,531-0356,,
,,,~ 대인광장,,,,,
9,광주자동차의 거리,최연모,북구 자동차로 33(임동),168,561,,,
10,용봉동 패션의거리,김춘호,북구 용봉동 GM대우,63,210,,,
,,,~용봉 IC,,,,,
,,,,,,,,
"※ 등록시장 : 하나 또는 연접된 2개 이상 건물에 설치된 매장, 매장면적 3,000㎡이상, 상시운영",,,,,,,,
"※ 인정시장 : 영업·편의시설의 건축물 연면적 1,000㎡ 이상",,,,,,,,
"- 점포수 50개 이상, 토지·건축주 1/2이상 찬성, 상시 영업상인 1/2이상 동의",,,,,,,,
,,,,,,,,
"※ 상점가 : 2,000㎡이내의 가로변 또는 지하도에 50개 이상의 도·소매업 또는 용역업체가 밀접된 지역",,,,,,,,
"- 다만, 인구 30만 이하의 시·군·구의 경우 30개 이상 상점가",,,,,,,,
